"contact_group_id","group_id","contact_id"
"3724","6","1471"
"1746","15","974"
"3052","19","1335"
"3219","15","1373"
"2372","3","1160"
"1750","15","980"
"1923","7","709"
"1752","15","982"
"2521","5","1244"
"1755","15","985"
"3403","9","1186"
"3517","12","1212"
"1759","15","990"
"2963","15","1151"
"1761","15","992"
"1762","15","995"
"1763","15","996"
"2926","2","1314"
"3507","2","1050"
"1767","15","1001"
"1768","15","1002"
"1769","15","1003"
"1770","15","1004"
"1771","15","1005"
"1772","15","1006"
"1773","15","1007"
"2426","12","1003"
"3228","15","1375"
"1776","15","1010"
"1777","15","1011"
"1778","15","1012"
"1779","15","1013"
"3381","15","1242"
"3217","15","1372"
"1782","15","1016"
"1784","15","1018"
"3686","26","1435"
"1787","15","1022"
"2953","15","1173"
"2021","15","1109"
"1790","15","1025"
"3438","21","1417"
"1792","15","1027"
"3338","6","1013"
"3669","15","1458"
"2952","8","905"
"3110","15","1349"
"1797","15","1032"
"2640","15","1167"
"3366","15","1400"
"3362","9","1163"
"3541","19","1247"
"2549","5","1247"
"3636","26","996"
"1805","15","1040"
"3332","5","1384"
"3120","15","1352"
"3354","21","1353"
"2547","15","1247"
"2889","15","1308"
"1819","15","1044"
"3267","19","908"
"1821","9","1010"
"3342","15","1398"
"3335","5","1018"
"2832","6","707"
"2954","15","1284"
"2702","9","1267"
"3551","19","1423"
"3187","12","1363"
"2319","15","1212"
"2622","15","1267"
"2317","3","1212"
"2620","8","1212"
"1844","5","1048"
"1845","9","962"
"3553","12","1442"
"3077","15","1340"
"2805","6","1286"
"1999","15","1102"
"1850","15","1050"
"1851","7","1050"
"1852","8","1050"
"2841","21","1160"
"3128","15","1354"
"2802","15","1285"
"3127","3","1354"
"3286","9","996"
"2888","6","912"
"3555","19","1442"
"2914","5","1257"
"3321","3","1226"
"3238","3","1338"
"3604","25","1345"
"2449","15","1229"
"3733","27","1422"
"1898","15","1058"
"3433","6","1391"
"3322","15","1395"
"3464","7","1422"
"1902","7","159"
"1903","6","159"
"3346","15","1399"
"2650","21","1171"
"1909","9","124"
"2599","6","1165"
"1911","8","124"
"3324","6","1395"
"2597","3","124"
"3460","9","1411"
"2649","21","1238"
"2014","9","945"
"2929","15","1315"
"2800","12","1282"
"3662","23","47"
"3579","15","1442"
"3117","15","1351"
"2020","9","78"
"2443","5","1228"
"3441","15","1419"
"2035","7","1040"
"3097","6","692"
"2265","9","1203"
"3269","19","119"
"2910","5","1312"
"2909","15","1312"
"2908","5","1311"
"2907","15","1311"
"3292","3","1259"
"2060","15","1131"
"2067","6","78"
"2556","15","1249"
"3289","5","1263"
"2084","7","1143"
"2085","7","1144"
"2546","2","1247"
"2089","3","1111"
"3279","8","21"
"3296","15","1388"
"2092","6","1111"
"2459","12","1217"
"3359","3","1163"
"3301","15","1390"
"2787","3","10"
"2477","5","915"
"3139","5","132"
"3635","26","1163"
"2107","6","1151"
"2109","15","1146"
"3316","12","124"
"2111","7","1146"
"3740","27","1253"
"2113","15","1152"
"2647","2","1211"
"2115","9","1152"
"3017","3","1306"
"2442","19","59"
"3126","12","1354"
"2715","15","1277"
"3450","2","1163"
"2147","19","897"
"2148","19","99"
"3288","3","1310"
"2150","19","1022"
"3216","23","1371"
"2152","19","159"
"3694","15","1465"
"3573","22","1448"
"3693","20","38"
"3658","23","159"
"2159","19","51"
"2701","5","1267"
"3373","15","1403"
"2695","21","1273"
"3603","25","1368"
"3266","7","1363"
"3732","27","1279"
"3661","23","1435"
"3601","24","1186"
"2312","15","1211"
"2786","19","10"
"2831","5","707"
"3251","19","1380"
"3654","19","1452"
"3673","15","1459"
"2523","6","1244"
"3147","12","119"
"2177","19","1161"
"3554","15","1442"
"2179","19","1163"
"3671","9","995"
"3312","21","1394"
"3010","19","1330"
"3536","19","961"
"2184","5","1168"
"2185","9","1168"
"2186","6","1168"
"2187","15","1169"
"2188","9","1169"
"3512","7","124"
"3572","2","1448"
"2191","19","1172"
"2192","6","1173"
"3634","26","183"
"2455","3","896"
"3627","12","1044"
"2968","12","707"
"2545","3","1247"
"2544","12","1247"
"2390","5","1223"
"2859","3","89"
"3528","15","1436"
"2785","15","10"
"3509","5","1433"
"2461","7","1217"
"2439","3","1109"
"2222","15","1184"
"2223","3","1184"
"2224","5","1184"
"2713","15","1276"
"2226","7","1184"
"2227","8","1184"
"3687","26","95"
"3402","5","1186"
"2230","15","1186"
"2231","19","1186"
"3422","8","1186"
"3682","26","1423"
"3681","26","995"
"2712","15","887"
"3680","2","1322"
"3625","15","1451"
"2311","3","1211"
"2638","15","1164"
"3064","19","1328"
"3275","5","21"
"3274","3","21"
"3358","12","1163"
"3357","5","1109"
"3069","19","1338"
"3070","15","1338"
"3071","7","1338"
"3074","2","1339"
"3083","15","1343"
"3084","7","1343"
"3086","7","1257"
"3087","5","1334"
"3088","7","1334"
"3622","2","1450"
"3544","19","1226"
"3092","15","1345"
"3093","19","1346"
"3094","15","1346"
"3243","3","1340"
"3742","27","1186"
"3250","15","1379"
"3608","22","116"
"3189","15","1363"
"3190","2","1363"
"3191","5","1363"
"3192","9","1363"
"3193","6","1363"
"3659","23","1456"
"3221","15","1374"
"3222","23","1374"
"3325","7","1395"
"3326","15","1396"
"3327","5","1396"
"3328","9","1396"
"3329","6","1396"
"3330","7","907"
"3685","26","1368"
"3350","12","1384"
"3351","6","1384"
"3353","19","1397"
"3355","12","59"
"3363","6","1163"
"3364","7","1163"
"3365","8","1163"
"3378","5","1405"
"3379","15","1406"
"3380","5","1406"
"3723","26","1471"
"3459","5","1411"
"3487","5","1427"
"3486","15","1427"
"3397","15","1409"
"3398","9","1409"
"3399","6","1409"
"3404","6","1186"
"3543","15","1440"
"3697","5","1131"
"3416","15","1413"
"3467","6","1423"
"3421","2","21"
"3477","15","1424"
"3478","5","1424"
"3479","6","1424"
"3480","15","1425"
"3481","5","1425"
"3482","9","1425"
"3483","15","1426"
"3484","5","1426"
"3485","9","1426"
"3491","6","1428"
"3492","15","1429"
"3493","5","1429"
"3494","12","1430"
"3495","15","1430"
"3496","2","1430"
"3501","15","1431"
"3502","6","1431"
"3503","15","1432"
"3504","6","1432"
"3582","6","1442"
"3583","7","1442"
"3600","24","21"
"3599","24","1323"
"3598","24","1430"
"3597","24","1314"
"3596","24","1422"
"3595","24","1253"
"3594","24","1339"
"3593","24","214"
"3615","7","1356"
"3616","8","1356"
"3617","3","1356"
"3619","2","1356"
"3640","15","1452"
"3641","2","1452"
"3642","7","1452"
"3738","27","1446"
"3737","27","1435"
"3736","27","995"
"3710","2","1468"
"3709","15","1468"
"3708","3","1468"
"3707","12","1468"
"3651","23","1267"
"3652","15","1454"
"3653","23","1454"
"3689","26","1462"
"3690","3","1463"
"3691","15","1463"
